time,r,y
0,0,0
0.001,0.0157079,0.0157943
0.002,0.0314157,0.031588
0.003,0.0471232,0.0473808
0.004,0.0628302,0.0631727
0.005,0.0785366,0.0789633
0.006,0.0942422,0.0947527
0.007,0.109947,0.110541
0.008,0.12565,0.126327
0.009,0.141353,0.142112
0.01,0.157054,0.157894
0.011,0.172753,0.173675
0.012,0.188451,0.189453
0.013,0.204147,0.205229
0.014,0.219841,0.221003
0.015,0.235532,0.236774
0.016,0.251222,0.252542
0.017,0.266908,0.268307
0.018,0.282593,0.284069
0.019,0.298274,0.299827
0.02,0.313953,0.315583
0.021,0.329628,0.331334
0.022,0.3453,0.347082
0.023,0.360969,0.362826
0.024,0.376634,0.378566
0.025,0.392295,0.394302
0.026,0.407953,0.410033
0.027,0.423607,0.42576
0.028,0.439256,0.441482
0.029,0.454901,0.457199
0.03,0.470542,0.472912
0.031,0.486177,0.488619
0.032,0.501809,0.504321
0.033,0.517435,0.520018
0.034,0.533056,0.535709
0.035,0.548672,0.551394
0.036,0.564282,0.567074
0.037,0.579887,0.582747
0.038,0.595486,0.598414
0.039,0.611079,0.614075
0.04,0.626666,0.629729
0.041,0.642247,0.645377
0.042,0.657822,0.661018
0.043,0.67339,0.676652
0.044,0.688951,0.692279
0.045,0.704506,0.707899
0.046,0.720054,0.723511
0.047,0.735595,0.739116
0.048,0.751128,0.754713
0.049,0.766654,0.770302
0.05,0.782172,0.785883
0.051,0.797683,0.801456
0.052,0.813186,0.81702
0.053,0.828681,0.832577
0.054,0.844167,0.848124
0.055,0.859646,0.863663
0.056,0.875115,0.879193
0.057,0.890576,0.894714
0.058,0.906029,0.910225
0.059,0.921472,0.925728
0.06,0.936907,0.94122
0.061,0.952332,0.956703
0.062,0.967747,0.972176
0.063,0.983153,0.98764
0.064,0.99855,1.00309
0.065,1.01394,1.01854
0.066,1.02931,1.03397
0.067,1.04468,1.04939
0.068,1.06004,1.0648
0.069,1.07538,1.0802
0.07,1.09072,1.09559
0.071,1.10604,1.11097
0.072,1.12135,1.12634
0.073,1.13666,1.14169
0.074,1.15195,1.15703
0.075,1.16723,1.17237
0.076,1.18249,1.18769
0.077,1.19775,1.20299
0.078,1.213,1.21829
0.079,1.22823,1.23357
0.08,1.24345,1.24884
0.081,1.25866,1.2641
0.082,1.27385,1.27935
0.083,1.28904,1.29458
0.084,1.30421,1.3098
0.085,1.31937,1.325
0.086,1.33451,1.3402
0.087,1.34964,1.35538
0.088,1.36476,1.37054
0.089,1.37986,1.38569
0.09,1.39496,1.40083
0.091,1.41003,1.41595
0.092,1.4251,1.43106
0.093,1.44015,1.44616
0.094,1.45518,1.46124
0.095,1.4702,1.4763
0.096,1.48521,1.49135
0.097,1.5002,1.50639
0.098,1.51518,1.52141
0.099,1.53014,1.53641
0.1,1.54508,1.5514
0.101,1.56002,1.56637
0.102,1.57493,1.58133
0.103,1.58983,1.59627
0.104,1.60472,1.6112
0.105,1.61959,1.62611
0.106,1.63444,1.641
0.107,1.64928,1.65588
0.108,1.6641,1.67074
0.109,1.6789,1.68558
0.11,1.69369,1.70041
0.111,1.70846,1.71522
0.112,1.72321,1.73001
0.113,1.73795,1.74479
0.114,1.75267,1.75954
0.115,1.76737,1.77428
0.116,1.78206,1.78901
0.117,1.79673,1.80371
0.118,1.81138,1.8184
0.119,1.82601,1.83306
0.12,1.84062,1.84771
0.121,1.85522,1.86234
0.122,1.8698,1.87695
0.123,1.88436,1.89155
0.124,1.8989,1.90612
0.125,1.91342,1.92068
0.126,1.92792,1.93521
0.127,1.9424,1.94973
0.128,1.95687,1.96423
0.129,1.97131,1.97871
0.13,1.98574,1.99316
0.131,2.00015,2.0076
0.132,2.01453,2.02202
0.133,2.0289,2.03642
0.134,2.04325,2.05079
0.135,2.05757,2.06515
0.136,2.07188,2.07949
0.137,2.08616,2.0938
0.138,2.10043,2.1081
0.139,2.11467,2.12237
0.14,2.1289,2.13662
0.141,2.1431,2.15085
0.142,2.15728,2.16506
0.143,2.17144,2.17925
0.144,2.18558,2.19342
0.145,2.1997,2.20756
0.146,2.21379,2.22168
0.147,2.22786,2.23578
0.148,2.24192,2.24986
0.149,2.25595,2.26391
0.15,2.26995,2.27795
0.151,2.28394,2.29196
0.152,2.2979,2.30594
0.153,2.31184,2.31991
0.154,2.32576,2.33385
0.155,2.33965,2.34777
0.156,2.35352,2.36166
0.157,2.36737,2.37553
0.158,2.38119,2.38938
0.159,2.39499,2.4032
0.16,2.40877,2.417
0.161,2.42252,2.43078
0.162,2.43625,2.44453
0.163,2.44996,2.45825
0.164,2.46364,2.47196
0.165,2.47729,2.48563
0.166,2.49093,2.49929
0.167,2.50453,2.51291
0.168,2.51812,2.52652
0.169,2.53167,2.54009
0.17,2.54521,2.55365
0.171,2.55872,2.56717
0.172,2.5722,2.58068
0.173,2.58565,2.59415
0.174,2.59909,2.6076
0.175,2.61249,2.62103
0.176,2.62587,2.63442
0.177,2.63923,2.64779
0.178,2.65256,2.66114
0.179,2.66586,2.67446
0.18,2.67913,2.68775
0.181,2.69238,2.70102
0.182,2.70561,2.71426
0.183,2.7188,2.72747
0.184,2.73197,2.74065
0.185,2.74511,2.75381
0.186,2.75823,2.76694
0.187,2.77132,2.78004
0.188,2.78438,2.79312
0.189,2.79741,2.80617
0.19,2.81042,2.81919
0.191,2.82339,2.83218
0.192,2.83634,2.84514
0.193,2.84927,2.85808
0.194,2.86216,2.87098
0.195,2.87503,2.88386
0.196,2.88786,2.89671
0.197,2.90067,2.90953
0.198,2.91345,2.92232
0.199,2.9262,2.93508
0.2,2.93893,2.94782
0.201,2.95162,2.96052
0.202,2.96428,2.9732
0.203,2.97692,2.98584
0.204,2.98952,2.99846
0.205,3.0021,3.01104
0.206,3.01465,3.0236
0.207,3.02716,3.03613
0.208,3.03965,3.04862
0.209,3.05211,3.06109
0.21,3.06454,3.07352
0.211,3.07693,3.08593
0.212,3.0893,3.0983
0.213,3.10163,3.11065
0.214,3.11394,3.12296
0.215,3.12621,3.13524
0.216,3.13846,3.14749
0.217,3.15067,3.15971
0.218,3.16285,3.1719
0.219,3.175,3.18406
0.22,3.18712,3.19618
0.221,3.19921,3.20827
0.222,3.21126,3.22034
0.223,3.22329,3.23236
0.224,3.23528,3.24436
0.225,3.24724,3.25633
0.226,3.25917,3.26826
0.227,3.27106,3.28016
0.228,3.28293,3.29203
0.229,3.29476,3.30386
0.23,3.30656,3.31567
0.231,3.31833,3.32744
0.232,3.33006,3.33917
0.233,3.34176,3.35088
0.234,3.35343,3.36255
0.235,3.36506,3.37418
0.236,3.37666,3.38579
0.237,3.38823,3.39736
0.238,3.39977,3.4089
0.239,3.41127,3.4204
0.24,3.42274,3.43187
0.241,3.43417,3.4433
0.242,3.44557,3.4547
0.243,3.45693,3.46607
0.244,3.46827,3.4774
0.245,3.47956,3.4887
0.246,3.49083,3.49996
0.247,3.50206,3.51119
0.248,3.51325,3.52238
0.249,3.52441,3.53354
0.25,3.53553,3.54467
0.251,3.54662,3.55575
0.252,3.55768,3.56681
0.253,3.5687,3.57783
0.254,3.57968,3.58881
0.255,3.59063,3.59975
0.256,3.60155,3.61067
0.257,3.61242,3.62154
0.258,3.62327,3.63238
0.259,3.63407,3.64319
0.26,3.64484,3.65395
0.261,3.65558,3.66468
0.262,3.66628,3.67538
0.263,3.67694,3.68604
0.264,3.68757,3.69666
0.265,3.69816,3.70725
0.266,3.70871,3.7178
0.267,3.71923,3.72831
0.268,3.72971,3.73878
0.269,3.74015,3.74922
0.27,3.75056,3.75962
0.271,3.76092,3.76999
0.272,3.77126,3.78031
0.273,3.78155,3.7906
0.274,3.79181,3.80085
0.275,3.80203,3.81107
0.276,3.81221,3.82124
0.277,3.82236,3.83138
0.278,3.83247,3.84148
0.279,3.84253,3.85155
0.28,3.85257,3.86157
0.281,3.86256,3.87156
0.282,3.87252,3.8815
0.283,3.88243,3.89141
0.284,3.89231,3.90128
0.285,3.90215,3.91112
0.286,3.91195,3.92091
0.287,3.92172,3.93066
0.288,3.93144,3.94038
0.289,3.94113,3.95006
0.29,3.95078,3.9597
0.291,3.96038,3.96929
0.292,3.96995,3.97885
0.293,3.97948,3.98837
0.294,3.98897,3.99785
0.295,3.99842,4.00729
0.296,4.00783,4.0167
0.297,4.01721,4.02606
0.298,4.02654,4.03538
0.299,4.03583,4.04466
0.3,4.04508,4.0539
0.301,4.0543,4.0631
0.302,4.06347,4.07227
0.303,4.0726,4.08139
0.304,4.0817,4.09047
0.305,4.09075,4.09951
0.306,4.09976,4.10851
0.307,4.10873,4.11747
0.308,4.11766,4.12639
0.309,4.12655,4.13526
0.31,4.1354,4.1441
0.311,4.14421,4.1529
0.312,4.15298,4.16165
0.313,4.16171,4.17036
0.314,4.17039,4.17904
0.315,4.17904,4.18767
0.316,4.18764,4.19626
0.317,4.1962,4.2048
0.318,4.20472,4.21331
0.319,4.2132,4.22178
0.32,4.22164,4.2302
0.321,4.23004,4.23858
0.322,4.23839,4.24692
0.323,4.2467,4.25522
0.324,4.25497,4.26347
0.325,4.2632,4.27168
0.326,4.27139,4.27985
0.327,4.27953,4.28798
0.328,4.28763,4.29607
0.329,4.29569,4.30411
0.33,4.30371,4.31211
0.331,4.31168,4.32007
0.332,4.31962,4.32799
0.333,4.32751,4.33586
0.334,4.33535,4.34369
0.335,4.34316,4.35148
0.336,4.35092,4.35922
0.337,4.35864,4.36692
0.338,4.36631,4.37458
0.339,4.37394,4.38219
0.34,4.38153,4.38976
0.341,4.38908,4.39729
0.342,4.39658,4.40478
0.343,4.40404,4.41222
0.344,4.41146,4.41961
0.345,4.41883,4.42697
0.346,4.42616,4.43428
0.347,4.43344,4.44154
0.348,4.44068,4.44876
0.349,4.44788,4.45594
0.35,4.45503,4.46308
0.351,4.46214,4.47017
0.352,4.46921,4.47721
0.353,4.47623,4.48421
0.354,4.48321,4.49117
0.355,4.49014,4.49808
0.356,4.49703,4.50495
0.357,4.50387,4.51177
0.358,4.51067,4.51855
0.359,4.51742,4.52529
0.36,4.52414,4.53198
0.361,4.5308,4.53862
0.362,4.53742,4.54522
0.363,4.544,4.55178
0.364,4.55053,4.55829
0.365,4.55702,4.56475
0.366,4.56346,4.57117
0.367,4.56985,4.57755
0.368,4.57621,4.58387
0.369,4.58251,4.59016
0.37,4.58877,4.5964
0.371,4.59499,4.60259
0.372,4.60116,4.60874
0.373,4.60728,4.61484
0.374,4.61336,4.6209
0.375,4.6194,4.62691
0.376,4.62539,4.63287
0.377,4.63133,4.63879
0.378,4.63723,4.64467
0.379,4.64308,4.65049
0.38,4.64888,4.65628
0.381,4.65464,4.66201
0.382,4.66036,4.6677
0.383,4.66602,4.67334
0.384,4.67164,4.67894
0.385,4.67722,4.68449
0.386,4.68275,4.69
0.387,4.68823,4.69546
0.388,4.69367,4.70087
0.389,4.69906,4.70623
0.39,4.7044,4.71155
0.391,4.7097,4.71683
0.392,4.71495,4.72205
0.393,4.72016,4.72723
0.394,4.72532,4.73236
0.395,4.73043,4.73745
0.396,4.73549,4.74249
0.397,4.74051,4.74748
0.398,4.74548,4.75243
0.399,4.75041,4.75732
0.4,4.75528,4.76218
0.401,4.76011,4.76698
0.402,4.7649,4.77174
0.403,4.76963,4.77645
0.404,4.77432,4.78111
0.405,4.77897,4.78573
0.406,4.78356,4.79029
0.407,4.78811,4.79481
0.408,4.79261,4.79929
0.409,4.79706,4.80371
0.41,4.80147,4.80809
0.411,4.80583,4.81242
0.412,4.81014,4.81671
0.413,4.8144,4.82094
0.414,4.81862,4.82513
0.415,4.82279,4.82927
0.416,4.82691,4.83337
0.417,4.83098,4.83741
